,wheel_l,wheel_r,beta_l,beta_r,alpha
72,0.63636,7.0,-0.035214,0.035382,-0.019991
73,0.63636,5.7273,-0.028118,0.028172,-0.011197
74,0.63636,4.4545,-0.02284,0.022844,-0.002311
75,0.63636,3.1818,-0.022244,0.022239,0.0020266
76,0.63636,1.9091,-0.019967,0.016116,0.0037634
77,0.63636,0.63636,0.00030368,-0.00025481,-0.00013846
84,1.9091,7.0,-0.028012,0.028118,-0.01327
85,1.9091,5.7273,-0.022811,0.022831,-0.0052004
86,1.9091,4.4545,-0.022149,0.022186,-0.0011184
87,1.9091,3.1818,-0.020068,0.01606,0.00095667
88,1.9091,1.9091,0.00029557,-0.00026201,-4.4549e-05
89,1.9091,0.63636,0.016116,-0.019967,-0.0037634
96,3.1818,7.0,-0.022876,0.022908,-0.0065786
97,3.1818,5.7273,-0.022187,0.022207,-0.0023383
98,3.1818,4.4545,-0.02016,0.01601,1.4598e-05
99,3.1818,3.1818,0.00028682,-0.00026017,-2.5075e-05
100,3.1818,1.9091,0.020345,-0.015583,-4.5481e-05
101,3.1818,0.63636,0.022685,-0.02269,-0.0020512
108,4.4545,7.0,-0.022714,0.022733,-0.0030274
109,4.4545,5.7273,-0.01385,0.013858,-0.0012361
110,4.4545,4.4545,0.00020919,0.00020779,-2.6119e-05
111,4.4545,3.1818,0.014402,-0.014392,0.00083927
112,4.4545,1.9091,0.022635,-0.022597,0.0011076
113,4.4545,0.63636,0.022996,-0.022992,0.002313
120,5.7273,7.0,-0.013782,0.013788,-0.0014555
121,5.7273,5.7273,0.00020907,0.00020834,-1.054e-05
122,5.7273,4.4545,0.014415,-0.014408,0.0012104
123,5.7273,3.1818,0.022653,-0.022633,0.0023316
124,5.7273,1.9091,0.022983,-0.022962,0.0052029
125,5.7273,0.63636,0.028172,-0.028118,0.011197
132,7.0,7.0,0.00039452,-0.00038423,-1.6148e-05
133,7.0,5.7273,0.020568,-0.015456,0.0011059
134,7.0,4.4545,0.022659,-0.02264,0.0030281
135,7.0,3.1818,0.022984,-0.022952,0.0065798
136,7.0,1.9091,0.028118,-0.028012,0.01327
137,7.0,0.63636,0.035382,-0.035214,0.019991
